,date,brand,days_visible_7,days_measured_7,visibility_7,appearances_7,opportunities_7,share_7,avg_normalized_inverted_rank_7,score_7,url_id,category
149,2017-03-09 0:00:00,Nuby,1,7,0.142857143,1,100,0.01,0.04,0.046114286,1973,Baby Foods
150,2017-03-09 0:00:00,Nutramigen,7,7,1,12,700,0.017142857,0.685714286,1.383183673,1973,Baby Foods
151,2017-03-09 0:00:00,Pedialyte,3,7,0.428571429,3,300,0.01,0.16,0.230171429,1973,Baby Foods
152,2017-03-09 0:00:00,Pediasure,7,7,1,14,700,0.02,0.597142857,1.206228571,1973,Baby Foods
153,2017-03-09 0:00:00,Peter Rabbit Organics,7,7,1,21,700,0.03,0.434285714,0.8816,1973,Baby Foods
154,2017-03-09 0:00:00,Plum Organics,7,7,1,99,700,0.141428571,0.995714286,2.13225102,1973,Baby Foods
155,2017-03-09 0:00:00,Pumpkin Tree,7,7,1,13,700,0.018571429,0.71,1.433185714,1973,Baby Foods
156,2017-03-09 0:00:00,Similac,7,7,1,108,700,0.154285714,0.93,2.003485714,1973,Baby Foods
157,2017-03-09 0:00:00,Sprout,5,7,0.714285714,8,500,0.016,0.168,0.290688,1973,Baby Foods
158,2017-03-09 0:00:00,Traditional Medicinals,1,7,0.142857143,1,100,0.01,0.44,0.507257143,1973,Baby Foods
159,2017-03-10 0:00:00,Baby's Only,7,7,1,12,700,0.017142857,0.817142857,1.648293878,1973,Baby Foods
160,2017-03-10 0:00:00,Baby's Only Organic,3,7,0.428571429,3,300,0.01,0.876666667,1.261147619,1973,Baby Foods
161,2017-03-10 0:00:00,Earth's Best,7,7,1,125,700,0.178571429,0.99,2.156785714,1973,Baby Foods
162,2017-03-10 0:00:00,EleCare,4,7,0.571428571,4,400,0.01,0.2175,0.343960714,1973,Baby Foods
163,2017-03-10 0:00:00,Enfagrow,7,7,1,19,700,0.027142857,0.958571429,1.943161224,1973,Baby Foods
164,2017-03-10 0:00:00,Enfamil,7,7,1,90,700,0.128571429,0.948571429,2.019102041,1973,Baby Foods
165,2017-03-10 0:00:00,Gerber,4,7,0.571428571,4,400,0.01,0.0425,0.067210714,1973,Baby Foods
166,2017-03-10 0:00:00,Gerber Good Start Infant Formula,7,7,1,28,700,0.04,0.568571429,1.159885714,1973,Baby Foods
167,2017-03-10 0:00:00,Gerber Graduates,7,7,1,26,700,0.037142857,0.818571429,1.667546939,1973,Baby Foods
168,2017-03-10 0:00:00,Gerber Purees,7,7,1,11,700,0.015714286,0.592857143,1.195030612,1973,Baby Foods
169,2017-03-10 0:00:00,HAPPY BABY,7,7,1,68,700,0.097142857,0.874285714,1.833502041,1973,Baby Foods
170,2017-03-10 0:00:00,Happy Baby,7,7,1,7,700,0.01,0.942857143,1.895142857,1973,Baby Foods
